Book title,Book Author
Fahrenheit 451,Ray Bradbury
Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker
Mindset: The New Psychology of Success,Carol S. Dweck
The Power of Myth,Joseph Campbell
"Sperm Wars: Infidelity, Sexual Conflict, and Other Bedroom Battles",Robin Baker
DMT: The Spirit Molecule,Rick Strassman
The Road,Cormac McCarthy
The Black Witch,Laurie Forest
Adventures of Huckleberry Finn,Mark Twain
As Nature Made Him: The Boy Who Was Raised as a Girl,John Colapinto
The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David Epstein
Black Rednecks and White Liberals,Thomas Sowell
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
"Brother Sam: The Short, Spectacular Life of Sam Kinison",Bill Kinison
"Unplugged: Evolve from Technology to Upgrade Your Fitness, Performance, & Consciousness","Brian MacKenzie, Dr. Andy Galpin & Phil White"
The Butterfly Effect with Jon Ronson (Audible series),Jon Ronson
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson
So You’ve Been Publicly Shamed,Jon Ronson
The Black Witch,Laurie Forest
The Men Who Stare at Goats,Jon Ronson
Them: Adventures with Extremists,Jon Ronson
The Elephant In The Room: A Journey into the Trump Campaign and the ‘Alt-Right’,Jon Ronson
The Cat In The Hat,Dr. Seuss
The Book of Mormon,Joseph Smith Jr. (Translator)
Remote Viewers: The Secret History of America’s Psychic Spies,Jim Schnabel
The Pet Parent’s Handbook To A Ketogenic Diet & Canine Cancer (free e-book),Keto Pet Sanctuary
The Paleo Solution: The Original Human Diet,Robb Wolf
books ,Gary Taubes
Ketogenic Diets: Treatments for Epilepsy and Other Disorders,"Eric H. Kossoff,‎ John M. Freeman,‎ Zahava Turner, & James E. Rubenstein"
The Art and Science of Low Carbohydrate Performance,Jeff S. Volek & Stephen D. Phinney
"Cancer as a Metabolic Disease: On the Origin, Management, and Prevention of Cancer",Thomas Seyfried
Tripping over the Truth: How the Metabolic Theory of Cancer Is Overturning One of Medicine’s Most Entrenched Paradigms,Travis Christofferson
Dreams from My Father: A Story of Race and Inheritance,Barack Obama
The Bible,
The Complete Dead Sea Scrolls in English,Geza Vermes
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
DMT: The Spirit Molecule,Rick Strassman
Tribe: On Homecoming and Belonging,Sebastian Junger
A Perfect Union of Contrary Things,Maynard James Keenan & Sarah Jensen
The Primal Blueprint,Mark Sisson
The Qur’an,M. A. S. Abdel Haleem (Translator)
The Hadith,Muhammad al-Bukhari
The Quranic Sunnah of Prophet Muhammad,Laleh Bakhtiar
Reliance of the Traveller: A Classic Manual of Islamic Sacred Law,Nuh Ha Mim Keller
The Selfish Gene,Richard Dawkins
Sociobiology: The New Synthesis,Edward O. Wilson
Journey to the Ants: A Story of Scientific Exploration,Bert Hölldobler & Edward O. Wilson
The Talmud,Norman Solomon (Translator)
The Lord of the Rings,J.R.R. Tolkien
The God Delusion,Richard Dawkins
The Life of the Cosmos,Lee Smolin
"The Great Divide: Why Liberals and Conservatives Will Never, Ever Agree",William D. Gairdner
The Beauty Myth: How Images of Beauty Are Used Against Women,Naomi Wolf
A Natural History of Rape: Biological Bases of Sexual Coercion,Randy Thornhill & Craig T. Palmer
Homicide: Foundations of Human Behavior,Martin Daly & Margo Wilson
The Science of Chiropractic: Its Principles and Adjustments,Daniel David Palmer
Trick or Treatment: The Undeniable Facts about Alternative Medicine,Edzard Ernst & Simon Singh
"Ruthless: Scientology, My Son David Miscavige, and Me",Ron Miscavige
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport
Harry Potter and the Sorcerer’s Stone,J.K. Rowling
Harry Potter And The Order Of The Phoenix,J.K. Rowling
Lord of the Rings,J.R.R. Tolkien
Dune,Frank Herbert
Pieces of Light: How the New Science of Memory Illuminates the Stories We Tell About Our Pasts,Charles Fernyhough
Kull: Exile of Atlantis,Robert E. Howard
The Denial of Death,Ernest Becker
The Twilight of the Idols and the Anti-Christ: or How to Philosophize with a Hammer,Friedrich Nietzsche
Das Kapital: A Critque of Political Economy,Karl Marx
Frankenstein,Mary Shelley
Dracula,Bram Stoker
No Country For Old Men,Cormac McCarthy
The Men Who Stare At Goats,Jon Ronson
Tribe: On Homecoming and Belonging,Sebastian Junger
The Gift of Fear and Other Survival Signals that Protect Us From Violence,Gavin de Becker
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell
Conan: The Barbarian (Complete Collection),Robert E. Howard
The Prince,Niccolo Machiavelli
Rules for Radicals: A Practical Primer for Realistic Radicals,Saul D. Alinsky
books ,Robert Greene
The Bible,
The Qur’an,M. A. S. Abdel Haleem (Translator)
The Hadith,Muhammad al-Bukhari
Force and Fanaticism: Wahhabism in Saudi Arabia and Beyond,Simon Ross Valentine
"Wealth, Poverty and Politics",Thomas Sowell
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu & James Robinson
"Guns, Germs, and Steel: The Fates of Human Societies",Jared M. Diamond
Timaeus and Critias,Plato
"Yes, Your Teen is Crazy!: Loving Your Kid Without Losing Your Mind",Michael J. Bradley
Evolve Your Brain: The Science of Changing Your Mind,Joe Dispenza
Tribe: On Homecoming and Belonging,Sebastian Junger
The Catcher In The Rye,J.D. Salinger
Tribe: On Homecoming and Belonging,Sebastian Junger
WAR,Sebastian Junger
Our Political Nature: The Evolutionary Origins of What Divides Us,Avi Tuschman
Utilitarianism,John Stuart Mill
The Bible,
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
The Complete Dead Sea Scrolls in English,Geza Vermes
The Paleo Manifesto: Ancient Wisdom for Lifelong Health,John Durant
So You’ve Been Publicly Shamed,Jon Ronson
When I Was a Child I Read Books,Marilynne Robinson
Letter to a Christian Nation,Sam Harris
It Takes A Village,Hillary Clinton
Che Guevara: A Revolutionary Life,Jon Lee Anderson
Montcalm And Wolfe: The French And Indian War,Francis Parkman
American Buffalo: In Search of a Lost Icon,Steven Rinella
Son of the Morning Star: Custer and the Little Bighorn,Evan S. Connell
A Short Account of the Destruction of the Indies,Bartolomé de las Casas
books ,Pavel Tsatsouline
The Plant Paradox: The Hidden Dangers in “Healthy” Foods That Cause Disease and Weight Gain,"Steven R. Gundry, M.D."
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright
The Greatest Story Ever Told–So Far: Why Are We Here?,Lawrence M. Krauss
Mastering Bitcoin: Unlocking Digital Cryptocurrencies,Andreas M. Antonopoulos
The Internet of Money,Andreas M. Antonopoulos
A Mind of Your Own: The Truth About Depression and How Women Can Heal Their Bodies to Reclaim Their Lives,"Kelly Brogan, M.D. with Kristin Loberg"
The Handmaid’s Tale,Margaret Atwood
"Sex at Dawn: How We Mate, Why We Stray, and What It Means for Modern Relationships",Christopher Ryan & Cacilda Jetha
"Anatomy of an Epidemic: Magic Bullets, Psychiatric Drugs, and the Astonishing Rise of Mental Illness in America",Robert Whitaker
Nutrition and Physical Degeneration,Weston A. Price
The Emperor’s New Drugs: Exploding the Antidepressant Myth,
A Mind of Your Own: The Truth About Depression and How Women Can Heal Their Bodies to Reclaim Their Lives,"Kelly Brogan, MD with Kristin Loberg"
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
"Meat Is for Pussies: A How-To Guide for Dudes Who Want to Get Fit, Kick Ass, and Take Names",John Joseph
Hard-Core: Life of My Own,Harley Flanagan
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
Stop Overreacting: Effective Strategies for Calming Your Emotions,Judith P. Siegel
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
The Secret,Rhonda Byrne
The Art of Mindfulness,Thich Nhat Hanh
Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice
Atlas Shrugged,Ayn Rand
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker
Escape from Camp 14: One Man’s Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden
The Sun Also Rises,Ernest Hemingway
Going Rogue: An American Life,Sarah Palin
Mein Kampf,Adolf Hitler
Made in America: The Most Dominant Champion in UFC History,Matt Hughes with Michael Malice
I Want You to Shut the F#ck Up: How the Audacity of Dopes Is Ruining America,D.L. Hughley with Michael Malice
"Black Man, White House: An Oral History of the Obama Years",D. L. Hughley with Michael Malice
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
Way of the Warrior Kid: From Wimpy to Warrior the Navy SEAL Way,Jocko Willink
"Meat Is for Pussies: A How-To Guide for Dudes Who Want to Get Fit, Kick Ass, and Take Names",John Joseph
Magicians of the Gods,Graham Hancock
"Black Athena: The Afroasiatic Roots of Classical Civilization (The Fabrication of Ancient Greece 1785-1985, Volume 1)",Martin Bernal
Kon-Tiki: Across the Pacific in a Raft,Thor Heyerdahl
"Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time",Michael Shermer
Noah’s Flood: The New Scientific Discoveries About the Event that Changed History,William Ryan & Walter Pitman
"Guns, Germs, and Steel: The Fates of Human Societies",Jared M. Diamond
Fingerprints of the Gods,Graham Hancock
The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes
The Mind in the Cave: Consciousness and the Origins of Art,David Lewis-Williams
Food of the Gods,Terence McKenna
Supernatural: Meetings with the Ancient Teachers of Mankind,Graham Hancock
Catching Fire: How Cooking Made Us Human,Richard Wrangham
The Book of Enoch,Enoch
The 12th Planet: Book I of the Earth Chronicles,Zecharia Sitchin
unspecified book (In Search of Ancient Astronomies shown),Ed Krupp
Origins of the Sphinx: Celestial Guardian of Pre-Pharaonic Civilization,Robert M. Schoch Ph.D. & Robert Bauval
American Serengeti: The Last Big Animals of the Great Plains,Dan Flores
Forbidden Archeology: The Hidden History of the Human Race,Michael A. Cremo & Richard L. Thompson
Forgotten Civilization: The Role of Solar Outbursts in Our Past and Future,Robert M. Schoch Ph.D.
Timaeus and Critias (Atlantis),Plato
Plato Never Lied: Atlantis Is In Indonesia,Danny Hilman Natawidjaya
Path of the Pole,Charles H. Hapgood
Professional Idiot: A Memoir,Stephen ‘Steve-O’ Glover
The Flat-Earth Conspiracy,Eric Dubay
Zetetic Astronomy: Earth Not a Globe,Samuel Birley Rowbotham
The Bible,
1984,George Orwell
books ,L. Ron Hubbard
"Ruthless: Scientology, My Son David Miscavige, and Me",Ron Miscavige
Sherlock Holmes series,Sir Arthur Conan Doyle
The Bible,
Hamlet,William Shakespeare
books ,Jacques Derrida
The Selfish Gene,Richard Dawkins
Madness & Civilization: A History of Insanity in the Age of Reason,Michel Foucault
Discovery of the Unconscious: The History and Evolution of Dynamic Psychiatry,Henri F. Ellenberger
The Ticket That Exploded,William S. Burroughs
"Hitler’s Table Talk, 1941-1944: His Private Conversations",Adolf Hitler
The Gulag Archipelago,Aleksandr Solzhenitsyn
Harry Potter series,J.K. Rowling
The Hobbit,J.R.R. Tolkien
Beowulf,Seamus Heaney (Translator)
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Thus Spoke Zarathustra,Friedrich Nietzsche
books ,Carl Jung
Paradise Lost,John Milton
Maps of Meaning: The Architecture of Belief,Jordan B. Peterson
"Taking Aim: Daring to Be Different, Happier, and Healthier in the Great Outdoors",Eva Shockey
The Witchery of Archery,Maurice Thompson
Zen in the Art of Archery,Eugen Herrigel
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink & Leif Babin
The Bible (Parable of the Prodigal Son),
The Hero’s Journey: Joseph Campbell on His Life and Work,Joseph Campbell
Jack Reacher series,Lee Child
Comic Insights: The Art of Stand-Up Comedy,Franklyn Ajaye
Coyote America: A Natural and Supernatural History,Dan Flores
On the Move: A Life,Oliver Sacks
"Ruthless: Scientology, My Son David Miscavige, and Me",Ron Miscavige
A Renegade History of the United States,Thaddeus Russell
The Jew A Negro: Being A Study Of The Jewish Ancestry From An Impartial Standpoint…,Arthur Talmage Abernethy
The Big Sky,A.B. Guthrie Jr.
Social: Why Our Brains Are Wired To Connect,Matthew D. Lieberman
The Hero’s Journey: Joseph Campbell on His Life and Work,Joseph Campbell
Siddhartha,Hermann Hesse
In Trump We Trust: E Pluribus Awesome!,Anne Coulter
One Past Midnight: The Langoliers,Stephen King
It,Stephen King
Pet Sematary,Stephen King
The Dark Tower I: The Gunslinger,Stephen King
The Body,Stephen King
Shawshank Redemption,Stephen King
The Green Mile,Stephen King
Christine,Stephen King
The Shining,Stephen King
(unspecified book),George Carlin
Seinlanguage,Jerry Seinfeld
I’m Fine…And Other Lies,Whitney Cummings
My Life,Bill Clinton
Carrying the Fire: An Astronaut’s Journeys,Michael Collins
The Bible,
The Qur’an,M. A. S. Abdel Haleem (Translator)
The Hadith,Muhammad al-Bukhari
The Case Against Sugar,Gary Taubes
Sick in the Head: Conversations About Life and Comedy,Judd Apatow
"Ruthless: Scientology, My Son David Miscavige, and Me",Ron Miscavige
Dianetics: The Modern Science Of Mental Health,L. Ron Hubbard
Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard
Mission Earth series,L. Ron Hubbard
The Subconscious and the Superconscious Planes of Mind,William Walker Atkinson
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
Heart of Darkness,Joseph Conrad
Get Jiro!,Anthony Bourdain & Joel Rose
books ,Marco Pierre White
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson
Fear and Loathing on the Campaign Trail ’72,Hunter S. Thompson
"The Proud Highway: Saga of a Desperate Southern Gentleman, 1955-1967",Hunter S. Thompson
Best Evidence,David S. Lifton
Libra,Don DeLillo
Best Evidence,David S. Lifton
Behold a Pale Horse,William Cooper
"The Comedians: Drunks, Thieves, Scoundrels, and the History of American Comedy",Kliph Nesteroff
Fight Club,Chuck Palahniuk
Letters from an Astrophysicist,Neil deGrasse Tyson
The Bible,
Encyclical on Climate Change and Inequality: On Care for Our Common Home,Pope Francis
1984,George Orwell
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright
Strong Advice: Zuby’s Guide to Fitness for Everybody,Zuby
Hacks: The Inside Story of the Break-ins and Breakdowns That Put Donald Trump in the White House,Donna Brazile
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,Greg Lukianoff & Jonathan Haidt
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
Blue: The Color of Noise,Steve Aoki
books ,Eddie Huang
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
books ,Richard Dawkins
Fantastic Voyage: Live Long Enough to Live Forever,Ray Kurzweil & Terry Grossman
The Deep History of Ourselves: The Four-Billion-Year Story of How We Got Conscious Brains,Joseph LeDoux
Anxious: Using the Brain to Understand and Treat Fear and Anxiety,Joseph LeDoux
Outliers: The Story of Success,Malcolm Gladwell
The Emotional Brain: The Mysterious Underpinnings of Emotional Life,Joseph LeDoux
The Selfish Gene,Richard Dawkins
books ,Steven Pinker
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker
First Bite: How We Learn to Eat,Bee Wilson
Presto!: How I Made Over 100 Pounds Disappear and Other Magical Tales,Penn Jillette
Freak Kingdom: Hunter S. Thompson’s Manic Ten-Year Crusade Against American Fascism,Timothy Denevi
books ,Ernest Hemingway
Sapiens: A Brief History of Human Kind,Yuval Noah Harari
How Music Works,David Byrne
In The Penal Colony,Franz Kafka
Moby Dick,Herman Melville
Night Shift (The Lawnmower Man),Stephen King
Ready Player One,Ernest Cline
books ,Robert A. Heinlein
The L.L. Bean Game and Fish Cookbook,Angus Cameron & Judith Jones
The MeatEater Fish and Game Cookbook: Recipes and Techniques for Every Hunter and Angler,Steven Rinella
books ,Vic Dunaway
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Matthew Walker, PhD"
Walden,Henry David Thoreau
Race Matters,Cornel West
books ,Sean Carroll
books ,Richard Dawkins
